"data","retweeted_authors","authors"
"2014-11-04",NA,"pierin2agosto"
"2014-11-04",NA,"Aringoogle"
"2014-11-04",NA,"Aringoogle"
"2014-11-04",NA,"CRIcuneo"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Ossmeteobargone"
"2014-11-04",NA,"Ossmeteobargone"
"2014-11-04",NA,"azz60"
"2014-11-04",NA,"Ossmeteobargone"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"usurana"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"PCPontestura"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"Monica_torino"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"emerge67"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"dariodf70"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"nastrorosa"
"2014-11-04",NA,"CRIcuneo"
"2014-11-04",NA,"Catta_lele"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"CapitanAchab"
"2014-11-04",NA,"Lecchinimichele"
"2014-11-04",NA,"laranamilanese"
"2014-11-04",NA,"Stefanosav1972"
"2014-11-04",NA,"TuLangheRoero"
"2014-11-04",NA,"Ossmeteobargone"
"2014-11-04",NA,"DaniPitarresi"
"2014-11-04",NA,"DavideGavi"
"2014-11-04",NA,"lanuovagazzetta"
"2014-11-04",NA,"Miriam8112"
"2014-11-04",NA,"FabriBor"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"DavideGavi"
"2014-11-04",NA,"ClaudiaCavadore"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"_TheWitch_"
"2014-11-04",NA,"_TheWitch_"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"RadioBeckwith"
"2014-11-04",NA,"vittoriopasteris"
"2014-11-04",NA,"PCPontestura"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"UnioneMregalese"
"2014-11-04",NA,"Guarene2020"
"2014-11-04",NA,"Granda_p_Comuni"
"2014-11-04",NA,"_TheWitch_"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"davvedder"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"blogalessandria"
"2014-11-04",NA,"blogalessandria"
"2014-11-04",NA,"twandreazara"
"2014-11-04",NA,"blogalessandria"
"2014-11-04",NA,"Kottomano"
"2014-11-04",NA,"annabelladellac"
"2014-11-04",NA,"blogalessandria"
"2014-11-04",NA,"blogalessandria"
"2014-11-04",NA,"genesdegenes"
"2014-11-04",NA,"CRIcuneo"
"2014-11-04",NA,"Annathelion"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"PinoRaspante"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"Drupyfeddy"
"2014-11-04",NA,"DavideGavi"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"fulvio64"
"2014-11-04",NA,"fefucchio"
"2014-11-04",NA,"SoniaFrizziero"
"2014-11-04",NA,"fabrizioxt660z"
"2014-11-04",NA,"RadioGoldAl"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"diAlessandria"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"dileguossi"
"2014-11-04",NA,"ale_gianlu"
"2014-11-04",NA,"giovanni_dutto"
"2014-11-04",NA,"FraBaraghini"
"2014-11-04",NA,"Emergenza24"
"2014-11-04",NA,"sweikosha"
"2014-11-04",NA,"yes_political"
"2014-11-04",NA,"lgiovangiacomo"
"2014-11-04",NA,"RodolfoBrutti"
"2014-11-04",NA,"strofuggi"
"2014-11-04",NA,"simoninchi"
"2014-11-04",NA,"sixbladeknife57"
"2014-11-04",NA,"carcarla81"
"2014-11-04",NA,"Ale81Na"
"2014-11-04",NA,"marconipop"
"2014-11-04",NA,"yes_political"
"2014-11-04",NA,"AlbertoDaniele0"
"2014-11-04",NA,"zarquonit"
"2014-11-04",NA,"elisabettamass3"
"2014-11-04",NA,"robertore62"
"2014-11-04",NA,"ERA_Arenzano"
"2014-11-04",NA,"LucaLombroso"
"2014-11-04",NA,"SoniaFrizziero"
"2014-11-04",NA,"Quezzimeteo"
"2014-11-04",NA,"gatta_selvatica"
"2014-11-04",NA,"soprailsette"
"2014-11-04",NA,"frassannino"
"2014-11-04",NA,"sulsitodisimone"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"silvianalon"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"oneto81"
"2014-11-04",NA,"CostrIlFuturo"
"2014-11-04",NA,"frassannino"
"2014-11-04",NA,"rosybattaglia"
"2014-11-04",NA,"QCanavese"
"2014-11-04",NA,"micky_genova"
"2014-11-04",NA,"antnqu"
"2014-11-04",NA,"frassannino"
"2014-11-04",NA,"fpresot"
"2014-11-04",NA,"annaBusca"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Blu_391"
"2014-11-04",NA,"Giov1947"
"2014-11-04",NA,"SimonaBellarmin"
"2014-11-04",NA,"italia_24news"
"2014-11-04",NA,"annabelladellac"
"2014-11-04",NA,"MarcoTalluto"
"2014-11-04",NA,"DavideGavi"
"2014-11-04",NA,"micky_genova"
"2014-11-04",NA,"fiordisale"
"2014-11-04",NA,"_TheWitch_"
"2014-11-04",NA,"ziogian67"
"2014-11-04",NA,"genesdegenes"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"frafra61_rossi"
"2014-11-04",NA,"FedericoBauMici"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Ossmeteobargone"
"2014-11-04",NA,"speruzx"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"naneoca"
"2014-11-04",NA,"CarloAlterego"
"2014-11-04",NA,"LauraDelT"
"2014-11-04",NA,"nonperbenista"
"2014-11-04",NA,"LauraDelT"
"2014-11-04",NA,"gherbitz"
"2014-11-04",NA,"AnnaChiara_Des"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"telesu_tv"
"2014-11-04",NA,"telesu_tv"
"2014-11-04",NA,"telesu_tv"
"2014-11-04",NA,"gabrielezagni"
"2014-11-04",NA,"CRIcuneo"
"2014-11-04",NA,"bigfab1"
"2014-11-04",NA,"beverinoboschi"
"2014-11-04",NA,"gabrielezagni"
"2014-11-04",NA,"DanyDeg77"
"2014-11-04",NA,"FraBaraghini"
"2014-11-04",NA,"Lozioalbe"
"2014-11-04",NA,"aliceborutti"
"2014-11-04",NA,"kirsypu"
"2014-11-04",NA,"ArchCmc"
"2014-11-04",NA,"chiaramanna"
"2014-11-04",NA,"areopago1"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"RomyHellas"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"zarquonit"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"FabioMarelli"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"strofuggi"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"AValabrega"
"2014-11-04",NA,"AValabrega"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Criss76Cristina"
"2014-11-04",NA,"madbob"
"2014-11-04",NA,"VitSavoia"
"2014-11-04",NA,"FedeDeGiacomo"
"2014-11-04",NA,"FedeDeGiacomo"
"2014-11-04",NA,"manueghibs"
"2014-11-04",NA,"emabelli13"
"2014-11-04",NA,"emabelli13"
"2014-11-04",NA,"Settala5Stelle"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"AValabrega"
"2014-11-04",NA,"telesu_tv"
"2014-11-04",NA,"telesu_tv"
"2014-11-04",NA,"telesu_tv"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"Marinamas"
"2014-11-04",NA,"blogalessandria"
"2014-11-04",NA,"ElisaCasetta"
"2014-11-04",NA,"antonellaval6"
